Pointer #,Speaker,Japanese
1,Villager Man A,プロローグが始まるよ
2,Villager Man A,　　あんた、あの船に乗ってどこへいくんだい
2,Villager Man A,　　　　　　　　　　なになに
2,Villager Man A,　　　　　アフロカ大陸のサファル砂漠
2,Villager Man A,　　それじゃあ、
2,Villager Man A,あんたはあれを探しにいくのか
2,Villager Man A,　　　　　　　幻の砂の都ケフィンを。
2,Villager Man A,　　　　　昔、すごい王国だったらしいね。
2,Villager Man A,園
2,Villager Man A,　　　　　錬金術という魔法で栄えた王国。
2,Villager Man A,　　　　　　　だれが言い始めたのか、
2,Villager Man A,　　　　黄金が眠っているって噂じゃないか。
2,Villager Man A,準
2,Villager Man A,　　　そこの住人はみな不老不死だというぜ。
2,Villager Man A,　錬金術のおかげで、餓えも病も争いもない理想郷。
2,Villager Man A,　　　　　　　それがケフィン王国。
2,Villager Man A,　　　　だけど、
2,Villager Man A,当然だれも見たことはない。
2,Villager Man A,　サファル砂漠のどこかにあるという話だが
2,Villager Man A,。
2,Villager Man A,砂漠の奥はすごい砂嵐が止むことなく吹き荒れている。
2,Villager Man A,　　　錬金術の秘儀で起こされた砂嵐だそうだ。
2,Villager Man A,　　　　　　誰も近づけないそうだぜ。
2,Villager Man A,　　　　　　　　　それになに、
2,Villager Man A,　　　砂漠の楽園なんて、
2,Villager Man A,きっとただの噂だよ。
2,Villager Man A,　　　　　　　それでも行くのかい
2,Villager Man A,　　　　　　　　　
2,Villager Man A,そうかい。
2,Villager Man A,　じゃあ、あんたの旅の無事を祈らせてもらうよ。
2,Villager Man A,　　　　　　　　　
2,Villager Man A,えっと、
2,Villager Man A,　　まだ名前を聞いていなかったな、
2,Villager Man A,赤毛の兄さん。
2,Villager Man A,　　　　　　　　　あんたの名は
3,Villager Man A,さあ、到着だ。
3,Villager Man A,ここが北アフロカの出入り口、[GREEN]サンドリア港[WHITE]だよ。
3,Villager Man A,さあ、みなさん、
3,Villager Man A,足元に気をつけて下船してください。
3,Villager Man A,長旅おつかれさまでした。
4,Villager Man A,ここが北アフロカか。
4,Dogi,さて、アドル。これからおまえさんはどうするんだい
4,Dogi,船で話していたとおり、大昔に消えちまったとかいう
4,Dogi,王国を探しにいくのか
5,Dogi,王国を探しにいく
5,Dogi,はい
5,Dogi,いいえ
6,Dogi,そうか。
6,Dogi,じゃあ、しばらくおまえはこの土地を
6,Dogi,ぶらぶらするのか。
7,Dogi,そうか。
7,Dogi,やっと長い船旅が終わったばかりだというのに、
7,Dogi,おまえの冒険好きはあいかわらずだな。
8,Dogi,じつはな、アドル。
8,Dogi,俺はこの北アフロカに、昔世話になった人がいてな。
8,Dogi,その人に礼を言いにいきたいんだ。
8,Dogi,だから、俺はこの街をすぐにでも出ようと思う。
8,Dogi,ここからはしばらく別行動になるな。
8,Dogi,それとも俺がいないと不安か
8,Dogi,ハッハッハッ
8,Dogi,じゃあな、アドル。
8,Dogi,どうせおまえのことだから、
8,Dogi,このあたりの土地を歩き回るんだろう
8,Dogi,だけど、先は長いんだ。
8,Dogi,おまえは少しこの辺りで、
8,Dogi,ゆっくりしていってからのほうがいいと思うぞ。
8,Dogi,じゃあ、俺は先にいくぞ。
8,Dogi,また会おうぜ、アドル。
11,Dogi,むっ、おまえは異国の冒険家か。
11,Dogi,我々は、サンドリアの街を守る治安部隊だ。
11,Dogi,このところ盗賊や遺跡荒しの被害が増えているからな。
11,Dogi,街へ入る前に、おまえの事を調べさせてもらおう
11,Dogi,赤毛の旅人
11,Dogi,か。
11,Dogi,はっ
11,Dogi,　リジェ隊長どの。
11,Dogi,あやしい者を発見したので、さっそく調べております。
11,Dogi,その者に、問題はなかろう。
11,Dogi,見るからに船で着いたばかりの旅人ではないか。
11,Dogi,そんなヒマがあるなら、街の中にひそんでいる
11,Dogi,密売商人でも取りしまっていろ。
11,Dogi,はっ
11,Rizze,すまんな。
11,Rizze,私は、このサンドリアの治安部隊をまとめている
11,Rizze,リジェ[WHITE]だ。
11,Rizze,この者たちには、異国の者に注意しろと
11,Rizze,伝えてあったのでな。
11,Rizze,迷惑をかけたな。
11,Rizze,兵士たちの無礼をゆるせ。
11,Rizze,行くぞ
11,Rizze,　おまえたち。
11,Rizze,はっ
14,Rizze,ちょっと失礼。
14,Rizze,私は、ドーマン様の使いで
14,Rizze,ツエット[WHITE]といいます。
14,Rizze,あなたのことは、船の水夫たちから聞きました。
14,Rizze,まだ若いが、有名な冒険家だとか。
14,Rizze,私の主であり、この街の有力者である
14,Rizze,ドーマン様が、幻の都にいどむ冒険家を今、
14,Rizze,さがしているんです。
14,Rizze,あなたなら、きっと幻の都を
14,Rizze,見つけられることでしょう
14,Rizze,とにかく、いちどドーマン様の
14,Rizze,屋敷に来ていただけませんか。
14,Rizze,[RED]屋敷は、街の北西の方角にあります。[WHITE]
14,Rizze,おねがいしますよ。
14,Rizze,アドルさん。
16,Rizze,おっと、ごめんなさいね。
16,Rizze,ちょっと、考え事しながら歩いていたものでね
16,Rizze,。
16,Rizze,おや
16,Rizze,きみは冒険者だね。
16,Rizze,すまないが、頼み事があるんだ。
16,Rizze,出来るだけ急ぎで、
16,Rizze,サンドリア草原の先に住んでる人へ届け物を頼みたくてね。
16,Rizze,もし、草原に出ることがあったら、
16,Rizze,声をかけてくれ。
16,Rizze,ちゃんとお礼もするよ。
17,Rizze,ちゃんと、届け物をしてくれたら、
17,Rizze,お礼もするよ。
17,Rizze,もし、サンドリア草原に出ることがあったら、
17,Rizze,声をかけてくれよ。
18,Dorman,むむむ
18,Dorman,君と会う約束は無いはずだが
18,Dorman,。
18,Dorman,セバスチャン
18,Dorman,お客様がお帰りだ
24,Dorman,きみがアドルくんか。
24,Dorman,よく来てくれた、私が
24,Dorman,ドーマン[WHITE]だ。
24,Dorman,ここへ来てもらったのは、ほかでもない。
24,Dorman,このサンドリアのまわりに住む人々を
24,Dorman,助けてほしいのだ。
24,Dorman,いや。この北アフロカに住む
